fool, jester;iociconio;m;;Associated with the Silly Season, especially Zerilo’s Day.
foot, leg;campa;f;;When used as a unit of measurement, it is equal to approx. 30.61 centimeters.
for;per;;with accusative;
forest;blidon;m;;
forgive;pristelo;v;;
fortress;duno;n;;
forty;cetriçont;;;
fountain;brauri;n;;
four;cetre;;;
free;elauderto;adj;;
Free Cities;Elaudertos Gordos;mp;;
Free Cityite;elaudertico;adjp;;
free of charge;gerti;adjp;;
Friday;zudaiti;f;;
friend;draugena;f;;
friend;draugo;m;;
friendship;draugia;f;;
from;ca;;with accusative;
full;plino;adj;;
funny;iocico;adj;;
future / conditional marker;zau;;;Marks future tense with a present tense verb and  conditional mood with a perfect tense verb:<br><i>So zau azetor.</i> “It will be done.”<br><i>Tu noic zau enems na anat.</i> “You would not take a duck.”
Garistan;Garistania;fp;;
Garistani;garistanico;adjp;;
get, receive;merio;v;;
gift;stelo;n;;
give, send;stelo;v;;
go;vado;vit;;
goat;capro;m;;
God;diau;m;;
good;dabo;adj;;
grape;zova;f;from Azkali substrate </i>*(a)zweha<i>;
grass;greno;n;;
green;zlovo;adj;;
ground;zemo;m;;
hair;pilo;m;;
Hallei;Allei;np;;
Halleian;alleico;adjp;;
hand;zera;f;;
harvest;cerpo;v;;
harvest;cerpta;f;;
hate;oneido;v;;
hatred;oneides;n;;
have;capo;v;;
he;so;prn;;
head;çrono;n;;
hear;çlauso;v;;
heart;çrid;n;;
heavy;orausto;adj;;
hello, goodbye, welcome;daba mani;;interjection;While literally meaning “good morning”, this phrase is used at all times of day as a generic greeting and farewell.
help;iauti;f;;
help;iavo;v;;
Henralia;Endralia;fp;;
Henralian;endralico;adjp;;
hold, stop;turio;v;;
holy;saulico;adj;;Eschewed by non-Saulists due to its etymological connection to <i>saul</i>  “sun”.
horn;çrano;n;;
horse, knight (chess);eçvo;m;;
hour;iora;f;;
house;veiçi;m;;
how, like;cia;;;
human being;zamon;m;;
hundred;çato;;;
I;ez;prn;;
ice;inio;m;;
icicle;leonzombo;m;;
...ify;...anio;v;;
Ihoshar;Ioçar;np;;Also colloquially spelled as <i>Ihoçhar</i>.
Ihoshari;ioçarico;adjp;;Also colloquially spelled as <i>ihoçharico</i>.
ill, sick;oligo;adj;;
in;en;;with dative;
Iquistia;Icvistia;fp;;
Iquistian;icvistico;adjp;;
iron;gelgi;f;;
island;antudri;n;;
Issica;Issica;fp;;
Issican;issico;adjp;;
it;so;prn;;
Jkawi;Scavi;np;;
Jkawian;scavico;adjp;;
joke;ioco;m;;
juice, sap;saca;f;;
Jyosti;Iosti;np;;
Jyostian;iostico;adjp;;
Kasten;Casten;np;;
Kastenian;castenico;adjp;;
Kgokkonitlag;Gonitlagia;fp;;
Kgokkonitlagian;gonitlagico;adjp;;
king;orez;m;;
kingdom;orezio;n;;
kill;çenio;v;;
kitchen;pecino;m;;
knee;zluno;m;;
knight;eçveitor;m / f;;
know;deio;v;;This verb is used in the sense of “know a fact”. For the sense “to be acquainted with”, see <i>zloço</i>.
know of, be familiar with;zloço;v;;This verb is used in the sense of “to be acquainted with”. For the sense “know a fact”, see <i>deio</i>.
lake;locu;m;;
land, country;gavo;m;;
language;dazva;f;;
Lasia;Lasia;fp;;
Lasian;lasico;adjp;;
laugh;ioco;vit;;
lava, magma;zemocrovio;m;;
leaf, page;bolio;n;;
learn;gendo;v;;
lemon;çidro;n;;
lemonade;çidrata;f;;
length;seinia;f;;
life;zauti;f;;
light;launo;n;;
line;linia;f;;When used as a unit of measurement, it is equal to approx. 3.061 millimeters.
lion;leon;m;;
liquid;vlicedo;adj;;
liquid;vlicedo;m;;
live;zavo;v;;
liver;iocri;n;;
long;seino;adj;;
loosen, free;lavo;v;;
Loremese;loremesi;adjp;;
Loremesia;Loremesia;fp;;
love;zaunita;f;;
Machellia;Machellia;fp;;
Machellian;machellico;adjp;;
maintain;anaturio;v;;
man;aner;m;;
many;dougio;adjp;;
meat, flesh;membro;n;;
member;antor;m / f;;
Mevistan;Mevistania;fp;;
Mevistani;mevistanico;adjp;;
middle, center;medio;f;;
milk;ceiro;n;;
Monday;mensdaiti;f;;
moon, month;mens;m;;
morning;mani;f;;
moss;brauso;n;;
mother;mater;f;;
mountain;monti;m;;
mouse;mus;f;;
mouth;stono;n;;
myllion;saucelesario;n;;Loremese uses the <a href=“https://en.wikipedia.org/wiki/-yllion”>-yllion system for big numbers</a>.
myriad;sauceles;n;;Loremese uses the <a href=“https://en.wikipedia.org/wiki/-yllion”>-yllion system for big numbers</a>.
name;enono;n;;
naval;navico;adjp;;
new;caio;adj;;
night;noct;f;;
nine;enava;;;
ninety;enavaçont;;;
no, not;noic;;;Used to negate statements and questions. For negative imperatives, see <i>me</i> “don’t”.
northern;çaurino;adj;;
nose;rungo;n;;
now;nun;;;
numb;pazo;adj;;
nut, walnut;arva;f;;
Oika;Voica;fp;;
Oikan;voicico;adjp;;
oil;elaivo;n;;
old;seno;adj;;
old age;senes;n;;
on;apo;;with accusative;
one;oino;num;;
open;celio;v;;
or;au;;;
Osteros;Ostero;mp;;
Osterosian;osterico;adjp;;
over;ampi;;with accusative;
park;parco;m;;
Pyatle;Patal;np;;
Pyatlean;patalico;adjp;;
path;stoigo;m;;
peak;colno;n;;
peninsula;gatiantudri;n;;
people;tauta;f;;
people’s;tautico;adjp;;
petroleum;gorelaivo;n;;
pig, pork;zorio;m;;
pitiful;gelico;adj;;
pity;gela;f;;
play;lidio;v;;
plaza, square;platusodo;f;;
pocket;moisulo;m;;
pour;zavio;v;;
president;prodeno;m;;Originally a noble title akin to “chief” or “prince” -- the semantic shift to an elected office reflects the makeshift nature of the early modern Loremese political system. Nowadays used for any elected head of state.
priest;saulico;m;;
province;zavio;n;;
Qarvaba;Carvaba;fp;;
Qarvaban;carvabico;adjp;;
queen;orezena;f;;
quadryllion;cetricelesario;n;;Loremese uses the <a href=“https://en.wikipedia.org/wiki/-yllion”>-yllion system for big numbers</a>.
question;pautoti;f;;
quintyllion;pencecelesario;n;;Loremese uses the <a href=“https://en.wikipedia.org/wiki/-yllion”>-yllion system for big numbers</a>.
railway;gelgistoigo;m;;
rain;sauto;m;;
rain;savo;vit;;
Rathari;Raçari;np;;
Ratharian, Tithri;raçarico;adjp;;
read;grido;v;;
red;sorto;adj;;
rejoice;gaudeio;vit;;
remove, delete;canemo;v;;
republic;reipoplica;f;;
ride on horseback;eçveio;vit;;
river;apon;m;;
rod;çlimo;m;;When used as a unit of measurement, it is equal to approx. 3.061 meters.
root;vrania;f;;
round;epivlivo;adj;;
rose;vrido;n;;
Rosiastan;Rosamoricia;fp;;
Rosiastani;rosamoricico;adjp;;
Rostav;Rostau;np;;
Rostavian;rostavico;adjp;;
ruin;rauti;f;;
ruin;ravo;v;;
rumour;bama;f;;
Sakle;Sacli;np;;
Saklean;saclico;adjp;;
salt;sal;f;;
Saturday;laudaiti;f;;
school;gendoticia;f;;
scorpion;gouro;m;;
sea;mori;n;;
seat;sodio;n;;
second;dvoto;adjp;;
see;derpo;v;;
seed;seno;n;;
self;sve;prn;;
self-defence;svebulaçia;f;;
seven;septa;;;
seventy;septaçont;;;
sextyllion;sveçcelesario;n;;Loremese uses the <a href=“https://en.wikipedia.org/wiki/-yllion”>-yllion system for big numbers</a>.
shark;scalo;m;;
sharp;açro;adj;;
she;sa;prn;;
Shidama;Çidama;mp;;🐪🐪🐪</p><p>Adherents of Shidamism prefer the spelling <i>Çhidama</i>.
Shidamism;çidamimo;m;;🐪🐪🐪</p><p>Adherents of Shidamism prefer the spelling <i>çhidamimo</i>.
shine;çveito;v;;
ship;nau;f;;
shit;soçri;n;;
shoe, footwear;puçti;f;;
short;brizu;adj;;
shortness;brizves;n;;
side;anto;m;;
silver;arzato;n;;
simple;liti;adj;;
sing;cano;v;;
sister;svesor;f;;
six;sveç;;;
sixty;sveçont;;;
skin;çauti;f;;
sky;nebes;n;;
sleep;suno;vit;;
small;vaglo;adj;;
smell;odio;v;;
snake;ogi;m;;
snow;zim;f;;
soldier, warrior, pawn (chess);mactor;m / f;;
sole (of foot);puço;m;;
southern;suntro;adj;;
speak, say;spelo;v;;
spring;veri;n;;
stand;stao;vit;;
star;ulo;m;;
state;crites;n;;
stay;meno;vit;;
Stesa;Stesa;fp;;
Stesan;stesico;adjp;;
stick, branch;clado;m;;
stone;goro;m;;
straight;teçu;adj;;
strong;çuso;adj;;
summer;gero;n;;
sun;saul;n;;
sun worship;saulimo;m;;
Sunday;sauldaiti;f;;
Sunteria;Sunteria;fp;;
Sunterian;sunterico;adjp;;
sweet, pleasant;svadu;adj;;
synod;çonsodo;f;;
synodist;çonsodista;m / f;;
tail;orso;m;;
take;nemo;v;;
tea;gosdiata;f;;This word is used exclusively for true tea. For tea-like drinks such as herbal or fruit teas, use <i>vrita</i> “tisane” instead.
tea leaf;gosdia;f;;
ten;deçat;;;
thank you;saulmete;;;Used when thanking a single person in a casual, familiar or intimate tone. When directed at several people, or in case of greater formality, see <i>saulmetiu</i>.</p><p>Literally “Saul with you”. Though it has no religious connotation in modern usage, the term is often eschewed by non-Saulists and replaced by e.g. <i>diaumete</i> “God with you”, <i>çidamete</i> “Shidama with you”, <i>marimete</i> “Mari with you”, etc.
thank you;saulmetiu;;;Used when thanking several people, or a single person in a distanced or formal tone. When directed at a single person with greater casualness, familiarity or intimacy, see <i>saulmete</i>.</p><p>Literally “Saul with you”. Though it has no religious connotation in modern usage, the term is often eschewed by non-Saulists and replaced by e.g. <i>diaumetiu</i> “God with you”, <i>çidametiu</i> “Shidama with you”, <i>marimetiu</i> “Mari with you”, etc.
the;so;adjp;;
therefore;azetor;;postpostive;<i>Azetor</i> is placed at the end of the phrase.
they (feminine);sas;prn;;
they (masculine);sos;prn;;
they (neuter);sa;prn;;
thick;bazu;adj;;
thing;rei;f;;
think;maudo;v;;
third;trito;adjp;;
thirty;triçont;;;
this;io;adjp;;
thousand;zelo;;;Loremese ordinarily uses the <a href=“https://en.wikipedia.org/wiki/-yllion”>-yllion system for big numbers</a>. <i>Zelo</i> is only used instead of <i>deçat çato</i> (lit. “ten hundred”) when the number of hundreds is divisible by ten, e.g. 2000 = <i>dvos zelo</i> “two thousand”, but 2100 = <i>dviçont oino çato</i> “twenty-one hundred”.
three;treis;num;;
throw;çaudo;v;;
thumb, inch, ounce;ançti;m;;When used as a unit of measurement, it is equal to approx. 3.061 centimeters, 28.69 milliliters or 28.69 grams.
Thursday;agnidaiti;f;;
tisane;vrita;f;;This word is used for tea-like drinks extracted from dried herbs or fruit. For proper tea, see <i>gosdiata</i>.
today;sadaiti;;;
tomorrow;noctior;;;
tooth;zombo;m;;
track;pletro;n;;When used as a unit of measurement, it is equal to approx. 30.61 meters.
Traule;Trauli;np;;
Traulean;traulico;adjp;;
tree;doru;n;;
tree bark;blavo;m;;
trousers;campino;m;plural only;The word is plural only. The singular forms are not used.
tryllion;tricelesario;n;;Loremese uses the <a href=“https://en.wikipedia.org/wiki/-yllion”>-yllion system for big numbers</a>.
Tuesday;dvidaiti;f;;
twenty;dviçont;;;
twin;dvizno;m;;
two;dvos;num;;
Tyrosia;Turosia;fp;;
Tyrosian;turosico;adjp;;
unify;semanio;v;;
union;semoti;f;;
Union of the Bellic Islands;Belicom Antudriom Semoti;fp;;Colloquially also called <i>Semoti</i> “Union”.
university;anagendoticia;f;;
until;mezri;;;
up;ana;;;
village;agromo;n;;
virgin;pristeno;m;;
want, love;zaunio;v;;
water;udri;n;;
we;nos;prn;;
week;oiu;n;;
weight;grau;n;;
western;vesprino;adj;;
what;ci;prn;;
wheel;aroto;m;;
while;dvam;;;
white;berzo;adj;;
who;cuso;prn;;
why;per ci;;;
Wednesday;çridaiti;f;;
wide;platu;adj;;
wind;avento;m;;
wine;çaro;m;from Azkali substrate </i>*carwe<i>;
winter;zeimon;m;;
with;meta;;with accusative;
without;sau;;with accusative;
woman;gena;f;;
word;spela;f;;
work, project;verzo;n;;
work;verzo;v;;
world;bauta;f;;
worm;vrimi;f;;
wound;vola;f;;
write;ezgrebo;v;;
writing;ezgrebia;f;;
Xjetjeng;Chietien;np;;
Xjetjeng Islander, Kjareqabi;chetienico;adjp;;
Xrwli;rulposico;adjp;;
Xrwlphyz;Rulposo;np;;
Yamahat;Iamat;np;;Widespread non-standard spellings include <i>Iamahat</i> and <i>Iamaat</i>.
Yamahati;iamatico;adjp;;Widespread non-standard spellings include <i>iamahatico</i> and <i>iamaatico</i>.
year;vetes;n;;
yellow;delco;adj;;
yes;eno;;;
yesterday;zie;;;
you (plural);iu;prn;;
you (singular);tu;prn;;
young;aiauno;adj;;
youth;aiaunes;n;;
zero, no, none;noilo;adjp;;
